Clauses,Stacksig Prover,CDS Prover,Stacksig Verifier,CDS Verifier,Rot256,
2,0.3,0.13792,0.3,0.17817,3.4760,
4,0.64893,0.32280,0.64233,0.36197,7,
8,1.8222,0.71406,1.3788,0.76569,10.9,
16,4.2626,1.5726,2.8526,1.5718,15.021,
32,9.3257,3.4407,5.9700,3.4343,20.069,
64,19.616,8.1028,11.705,7.9026,37,
128,40.584,20.794,24.474,20.438,37.131,
256,82.243,59.945,47.087,59.417,54.213,
512,165.70,,93.798,,85,
1024,334.63,,190.63,,145.33,
2048,671.82,,375.45,,257.25,
4096,1359.1,,742.17,,482.62,
8192,2685.4,,1477.9,,,
16384,5309.6,,2977.9,,,
32768,10628,,6041.8,,,
65536,21484,,12440,,,
131072,43705,,24617,,,
